bus,gnn_type,train_set,test_dir,label,MSE,RMSE,NRMSE,MAE,R2
57,GCN,train_n,test_nk2,N-2,6.635517597198486,2.575949843688438,0.2838915034760848,0.8765430450439453,0.8298414945602417
57,GCN,train_n,test_nk3,N-3,16.285602569580078,4.0355424133045705,0.4079104161931333,1.3673607110977173,0.7025070190429688
57,GraphConv,train_n,test_nk1,N-1,0.6519675850868225,0.8074450972585211,0.09543266675964958,0.21336683630943298,0.9625116586685181
57,GraphConv,train_n,test_nk2,N-2,1.4289418458938599,1.1953835559743407,0.13174139852436886,0.37638789415359497,0.9350833892822266
57,GraphConv,train_n,test_nk3,N-3,2.534113645553589,1.5918899602527774,0.16090736503712053,0.5447192192077637,0.9131695032119751
57,SAGEConv,train_n,test_nk1,N-1,1.1767011880874634,1.084758585164212,0.12820859885597966,0.31482207775115967,0.9478011727333069
57,SAGEConv,train_n,test_nk2,N-2,2.5545849800109863,1.5983069104558694,0.17614696688962922,0.5724833607673645,0.9095271825790405
57,SAGEConv,train_n,test_nk3,N-3,4.535429000854492,2.129654667042169,0.2152643269754322,0.8331775665283203,0.8792308568954468
57,GATConv,train_n,test_nk1,N-1,1.3569597005844116,1.1648861320251056,0.13767894613260145,0.3002181053161621,0.9454143047332764
57,GATConv,train_n,test_nk2,N-2,3.3546831607818604,1.8315794170010375,0.20185557405253812,0.540635883808136,0.8968075513839722
57,GATConv,train_n,test_nk3,N-3,8.060115814208984,2.839034310150017,0.28696803265451803,0.8375731706619263,0.8283808827400208
57,ChebConv,train_n,test_nk1,N-1,0.9482581615447998,0.9737854802495259,0.11509258715863435,0.3003714084625244,0.95357346534729
57,ChebConv,train_n,test_nk2,N-2,1.9816606044769287,1.4077146743843116,0.15514208724036235,0.518065869808197,0.921648383140564
57,ChebConv,train_n,test_nk3,N-3,3.3588755130767822,1.8327235233599153,0.1852506896510387,0.7269294857978821,0.898229718208313
57,MPN,train_n,test_nk1,N-1,0.1301463544368744,0.3607580275432196,0.042638317751005746,0.057128891348838806,-4.460031986236572
57,MPN,train_n,test_nk2,N-2,0.33595767617225647,0.5796185609280093,0.06387887757507109,0.11650782078504562,-11.708906173706055
57,MPN,train_n,test_nk3,N-3,0.8194538354873657,0.905236894678606,0.091500849363979,0.1952994018793106,-31.825477600097656
